train_epoch,300
batch_size,64
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/res3res3
log_root,../output/logs/res3
modal,multi
model_name,hsi_lidarres3
log_name,hsi_lidarres3
backbone,couple_cross_fc
patch_size,7
p,"[0, 0]"
location,after
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
l1_loss,0.003
gama,1.003
osc,0.8
t_max,2.0
gpu,0
version,0
loss_num,3
figure_root,../output/depose/res3
vis_interval,50
identity,res3
threshold,0.0
lambda0,1
lambda1,0.5
lambda2,0.5
lidar_lambda,1
use_md_loss,True
use_id_loss,False
use_intra_loss,False
use_drfuse_loss,False
name,hsi_lidarres3
0.0,0.0,0.0,0.0,0.0,0.084939,0
2.695053884718153,0.0,0.0,0.0,197.64300706651477,0.069279,0
2.6381243917677137,0.0,0.0,0.0,54.37197502983941,0.113471,0
2.5711690107981364,0.0,0.0,0.0,55.33856709798177,0.112323,0
2.510123936335246,0.0,0.0,0.0,57.07118411593967,0.110765,0
2.4634189075893826,0.0,0.0,0.0,60.120496877034505,0.140198,0
2.4281332704755996,0.0,0.0,0.0,60.75504998101128,0.13987,0.13987
2.3989412042829725,0.0,0.0,0.0,59.87663353814019,0.14356,0.14356
2.3822020371754964,0.0,0.0,0.0,59.26335720486111,0.138067,0.14356
2.3659026622772217,0.0,0.0,0.0,63.617897288004556,0.156514,0.156514
2.3481177118089462,0.0,0.0,0.0,63.149624803331164,0.15799,0.15799
2.33136518796285,0.0,0.0,0.0,59.5130855984158,0.153808,0.15799
2.3218035380045574,0.0,0.0,0.0,63.81556659274631,0.209478,0.209478
2.3220625559488934,0.0,0.0,0.0,64.49714346991645,0.162909,0.209478
2.3077128940158422,0.0,0.0,0.0,62.60307913886176,0.197262,0.209478
2.3097601095835367,0.0,0.0,0.0,59.66629087660048,0.175945,0.209478
2.2995175043741862,0.0,0.0,0.0,59.47490225897895,0.187751,0.209478
2.2910548210144044,0.0,0.0,0.0,61.991790771484375,0.16668,0.209478
2.2905545075734457,0.0,0.0,0.0,64.38223893907335,0.182832,0.209478
2.286132081349691,0.0,0.0,0.0,62.017036861843536,0.182668,0.209478
2.2815146181318493,0.0,0.0,0.0,63.16533321804471,0.197836,0.209478
2.2810706933339437,0.0,0.0,0.0,60.22018135918511,0.179798,0.209478
2.2763306776682537,0.0,0.0,0.0,60.270410495334204,0.198245,0.209478
2.275080272886488,0.0,0.0,0.0,58.011102040608726,0.193736,0.209478
2.2724985387590197,0.0,0.0,0.0,60.59040061102973,0.208822,0.209478
2.273701164457533,0.0,0.0,0.0,63.118806796603735,0.178732,0.209478
2.2764965216318767,0.0,0.0,0.0,58.817429606119795,0.212347,0.212347
2.2662199603186712,0.0,0.0,0.0,63.77665244208442,0.197344,0.212347
2.2616036203172474,0.0,0.0,0.0,63.719961717393666,0.206526,0.212347
2.264374902513292,0.0,0.0,0.0,59.330721113416885,0.206362,0.212347
2.2576186498006185,0.0,0.0,0.0,58.98426369561089,0.213413,0.213413
2.2609294997321236,0.0,0.0,0.0,57.916802724202476,0.259572,0.259572
train_epoch,300
batch_size,64
lr,0.0005
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models/res3res3
log_root,../output/logs/res3
modal,multi
model_name,hsi_lidarres3
log_name,hsi_lidarres3
backbone,couple_cross_fc
patch_size,7
p,"[0, 0]"
location,after
labma_unimodal,1.0
data_root,../data/Huston2013
pair_modalities,"['hsi', 'lidar']"
l1_loss,0.003
gama,1.003
osc,0.8
t_max,2.0
gpu,0
version,0
loss_num,3
figure_root,../output/depose/res3
vis_interval,50
identity,res3
threshold,0.0
lambda0,1
lambda1,0.5
lambda2,0.5
lidar_lambda,1
use_md_loss,False
use_id_loss,True
use_intra_loss,True
use_drfuse_loss,True
name,hsi_lidarres3
0.0,0.0,0.0,0.0,0.0,0.086333,0
2.6995922353532578,0.5627757642004225,10.793008655971951,0.10844207670953539,0.0,0.013774,0
2.5983193344540068,0.5529596898290846,10.597963036431207,0.10461885047455628,0.0,0.182258,0
2.434546931584676,0.5354844292004903,10.397551451789008,0.11237834042145146,0.0,0.29868,0
2.231105015012953,0.5238763292630514,10.21570512983534,0.12328618632422553,0.0,0.41379,0
1.9494425270292495,0.5154354095458984,10.024112553066677,0.12468468241600526,0.0,0.464294,0
1.6207218832439847,0.509594753715727,9.858688672383627,0.13418856693638695,0.0,0.527507,0.527507
1.3590392854478623,0.5017313778400421,9.70793588426378,0.13183220401406287,0.0,0.541855,0.541855
1.155924293729994,0.49825532502598235,9.584370019700792,0.13234338669313325,0.0,0.566697,0.566697
0.9980679896142748,0.49521538615226746,9.482378896077474,0.13327524802751012,0.0,0.426744,0.566697
0.8800963110393948,0.49301088518566555,9.41781340705024,0.1323704794463184,0.0,0.616135,0.616135
0.7709027965863545,0.4925948374801212,9.324079937405056,0.12605198100209236,0.0,0.648766,0.648766
0.6846661395496793,0.489662852552202,9.264560127258301,0.13540141748057472,0.0,0.59736,0.648766
0.6162071069081624,0.48800770110554165,9.19559620751275,0.13361806761887338,0.0,0.694843,0.694843
0.5493721107641856,0.4852093133661482,9.146659575568306,0.13711148136191897,0.0,0.708945,0.708945
0.5032055252128177,0.4865543418460422,9.118247816297743,0.13781941313710477,0.0,0.739854,0.739854
0.4364491018984053,0.4841427253352271,9.066144731309679,0.1366568903128306,0.0,0.689596,0.739854
0.39282953010665045,0.4823043551709917,9.0254242155287,0.13488129319416153,0.0,0.660736,0.739854
0.3395534137884776,0.4805616041024526,8.998292626274957,0.13715877913766436,0.0,0.659506,0.739854
0.3032506412929959,0.4778457310464647,8.953793059455023,0.13923570894532733,0.0,0.671559,0.739854
0.2658841970894072,0.4771437320444319,8.927297401428223,0.14509087949991226,0.0,0.560384,0.739854
0.25064565075768364,0.47629059884283276,8.88756415049235,0.13868680339720513,0.0,0.630073,0.739854
0.22159650623798371,0.4747049007150862,8.86772280799018,0.14155206721689967,0.0,0.636796,0.739854
0.19286341369152069,0.47157590786616005,8.822941441006131,0.14137919404440455,0.0,0.649094,0.739854
0.17693148222234514,0.47031093570921156,8.788695780436198,0.13927908872978556,0.0,0.788883,0.788883
0.15166591140959,0.46688507729106477,8.75144297281901,0.14182678643200133,0.0,0.771501,0.788883
0.14957714229822158,0.46717233061790464,8.7329404619005,0.14110688202910954,0.0,0.775601,0.788883
0.1277654997176594,0.46460262801912094,8.70128248002794,0.14126059139768282,0.0,0.722883,0.788883
0.1277105145984226,0.46174240973260666,8.680977778964573,0.13927925411197875,0.0,0.710421,0.788883
